Done! I've completed **LOW-7**: Standardize var usage across brane-rpc.

## Summary

Changed 7 instances across 3 files where `var` was used but the RHS didn't make the type immediately obvious:

| File | Line | Before | After |
|------|------|--------|-------|
| `DefaultPublicClient.java` | 95 | `var map = MAPPER.convertValue(...)` | `Map<String, Object> map = ...` |
| `DefaultPublicClient.java` | 242 | `var accessList = new ArrayList<AccessListEntry>()` | `List<AccessListEntry> accessList = new ArrayList<>()` |
| `DefaultPublicClient.java` | 271 | `var tx = new LinkedHashMap<String, Object>()` | `Map<String, Object> tx = new LinkedHashMap<>()` |
| `DefaultPublicClient.java` | 287 | `var req = new LinkedHashMap<String, Object>()` | `Map<String, Object> req = new LinkedHashMap<>()` |
| `DefaultPublicClient.java` | 315 | `var topicHex = new ArrayList<String>()` | `List<String> topicHex = new ArrayList<>()` |
| `RpcUtils.java` | 259 | `var tx = new LinkedHashMap<String, Object>()` | `Map<String, Object> tx = new LinkedHashMap<>()` |
| `DefaultWalletClient.java` | 331 | `var tx = new LinkedHashMap<String, Object>()` | `Map<String, Object> tx = new LinkedHashMap<>()` |

The existing usages of `var` for constructors like `StringBuilder`, `RpcException`, and `ArrayList<LogEntry>` were left unchanged as they follow the guideline (type is obvious from the RHS constructor).
